325794158;;;;
#poses;f;isConstant;;
0;2317.65;0;;
2;2317.65;0;;
2;2317.65;0;;
3;2565.84;0;;
4;2650.1;0;;
4;2657.85;0;;
5;2648.67;0;;
5;2651.97;0;;
6;2650.3;0;;
6;2653.68;0;;
7;2660.86;0;;
7;2664.66;0;;
8;2675.9;0;;
8;2680.04;0;;
9;2680.3;0;;
9;2687.21;0;;
10;2685.73;0;;
10;2683.88;0;;
11;2687.68;0;;
11;2695.26;0;;
12;2683.33;0;;
12;2683.54;0;;
13;2696.54;0;;
13;2692.17;0;;
14;2697.5;0;;
14;2694.41;0;;
15;2709.05;0;;
15;2696.33;0;;
16;2706.56;0;;
16;2697.7;0;;
17;2708.05;0;;
17;2693.12;0;;
18;2706.36;0;;
18;2692.87;0;;
19;2700.85;0;;
19;2690.96;0;;
20;2705.03;0;;
20;2693.4;0;;
21;2701.58;0;;
21;2689.87;0;;
22;2703.56;0;;
22;2700.25;0;;
23;2701.42;0;;
23;2697.48;0;;
24;2701;0;;
24;2697.42;0;;
25;2701.37;0;;
25;2697.78;0;;
26;2703.55;0;;
26;2684.25;0;;
27;2693.08;0;;
27;2680.35;0;;
28;2692.77;0;;
28;2679.78;0;;
29;2691.9;0;;
29;2676.04;0;;
30;2687.17;0;;
30;2674.92;0;;
36;2692.15;0;;
36;2677.15;0;;
36;2676.03;0;;
